Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      9s |       9999.00000 |  |   0.036779 |    19.58402 |
|    2/1000 |      8s |         11.51373 |  |   0.148507 |     4.62523 |
|    3/1000 |      8s |          0.72014 |  |   0.344665 |    -5.38424 |
|    4/1000 |      8s |         -4.74571 |  |   0.379031 |    -6.58123 |
|    5/1000 |      8s |         -7.75181 |  |   0.420550 |   -11.58491 |
|    6/1000 |      9s |         -9.74003 |  |   0.427012 |   -11.49490 |
|    7/1000 |      8s |        -10.89936 |  |   0.458317 |   -14.52227 |
|    8/1000 |      8s |        -12.40913 |  |   0.468063 |   -16.04029 |
|    9/1000 |      8s |        -13.31596 |  |   0.474230 |   -12.40989 |
|   10/1000 |      8s |        -14.37605 |  |   0.486950 |   -17.52083 |
|   11/1000 |      8s |        -14.84881 |  |   0.490065 |   -16.86425 |
|   12/1000 |      9s |        -15.10943 |  |   0.498332 |   -18.69104 |
|   13/1000 |      9s |        -16.10787 |  |   0.499602 |   -14.64179 |
|   14/1000 |      8s |        -16.32331 |  |   0.510221 |   -18.54277 |
|   15/1000 |      8s |        -17.01425 |  |   0.521367 |   -20.06837 |
|   16/1000 |      8s |        -17.52053 |  |   0.527054 |   -17.26333 |
|   17/1000 |      8s |        -17.69830 |  |   0.535749 |   -19.04659 |
|   18/1000 |      8s |        -18.41236 |  |   0.541958 |   -20.48992 |
|   19/1000 |      8s |        -18.94989 |  |   0.546388 |   -21.27290 |
|   20/1000 |      8s |        -12.99648 |  |   0.550778 |   -21.96069 |
|   21/1000 |      8s |        -19.51222 |  |   0.559962 |   -21.68625 |
|   22/1000 |      8s |        -19.70703 |  |   0.564652 |   -20.23493 |
|   23/1000 |      8s |        -20.15112 |  |   0.555965 |   -17.80900 |
|   24/1000 |      8s |        -20.69149 |  |   0.584673 |   -23.40402 |
|   25/1000 |      8s |        -21.00549 |  |   0.577231 |   -20.27827 |
|   26/1000 |      8s |        -21.27142 |  |   0.598207 |   -24.60626 |
|   27/1000 |      8s |        -21.40085 |  |   0.596316 |   -24.35310 |
|   28/1000 |      8s |        -21.82648 |  |   0.611742 |   -24.70299 |
|   29/1000 |      8s |        -21.93844 |  |   0.613590 |   -24.47408 |
|   30/1000 |      8s |        -22.34194 |  |   0.610300 |   -23.79637 |
|   31/1000 |      8s |        -22.27867 |  |   0.624976 |   -25.27810 |
|   32/1000 |      8s |        -22.70931 |  |   0.628741 |   -26.03999 |
|   33/1000 |      8s |        -22.80045 |  |   0.600844 |   -21.51166 |
|   34/1000 |      8s |        -23.04165 |  |   0.635510 |   -25.45851 |
|   35/1000 |      8s |        -23.21218 |  |   0.631238 |   -25.66681 |
|   36/1000 |      8s |        -23.75184 |  |   0.643051 |   -26.44822 |
