Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      6s |       9999.00000 |  |   0.033660 |    28.07962 |
|    2/1000 |      5s |         15.63794 |  |   0.156187 |     7.64135 |
|    3/1000 |      5s |          3.43074 |  |   0.315943 |    -0.99216 |
|    4/1000 |      5s |         -3.02298 |  |   0.395294 |    -8.27568 |
|    5/1000 |      5s |         -6.16122 |  |   0.432671 |   -11.10521 |
|    6/1000 |      5s |         -8.77006 |  |   0.459636 |   -13.21619 |
|    7/1000 |      6s |        -10.93101 |  |   0.476182 |   -14.57881 |
|    8/1000 |      5s |        -12.32584 |  |   0.499384 |   -16.07095 |
|    9/1000 |      5s |        -13.30985 |  |   0.506428 |   -14.61004 |
|   10/1000 |      5s |        -15.03602 |  |   0.524757 |   -18.09353 |
|   11/1000 |      5s |        -15.89836 |  |   0.530656 |   -17.55082 |
|   12/1000 |      5s |        -16.62862 |  |   0.543563 |   -19.41483 |
|   13/1000 |      5s |        -17.34470 |  |   0.534453 |   -16.76495 |
|   14/1000 |      5s |        -17.88661 |  |   0.556063 |   -21.16070 |
