Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.36
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |     17s |       9999.00000 |  |   0.530526 |   -11.31204 |
|    2/1000 |     16s |        -13.00603 |  |   0.676392 |   -19.34538 |
|    3/1000 |     17s |        -19.38406 |  |   0.728289 |   -25.65631 |
|    4/1000 |     16s |        -22.75112 |  |   0.755451 |   -27.72363 |
|    5/1000 |     16s |        -24.75464 |  |   0.767988 |   -28.32620 |
|    6/1000 |     17s |        -26.24738 |  |   0.781134 |   -30.02390 |
|    7/1000 |     17s |        -27.35594 |  |   0.780451 |   -29.95538 |
|    8/1000 |     17s |        -28.29954 |  |   0.785181 |   -31.13225 |
|    9/1000 |     17s |        -29.07168 |  |   0.786407 |   -32.12532 |
|   10/1000 |     17s |        -29.77670 |  |   0.793265 |   -32.63301 |
|   11/1000 |     17s |        -30.14219 |  |   0.789763 |   -28.84653 |
|   12/1000 |     17s |        -30.90438 |  |   0.793233 |   -33.70402 |
|   13/1000 |     17s |        -31.23475 |  |   0.796889 |   -35.30112 |
|   14/1000 |     17s |        -31.65020 |  |   0.794930 |   -34.82402 |
|   15/1000 |     17s |        -32.09789 |  |   0.798965 |   -35.93244 |
|   16/1000 |     17s |        -32.20285 |  |   0.799728 |   -36.38380 |
|   17/1000 |     17s |        -32.54264 |  |   0.804027 |   -36.58024 |
|   18/1000 |     17s |        -32.85226 |  |   0.805237 |   -35.73829 |
|   19/1000 |     17s |        -33.26763 |  |   0.808846 |   -37.18318 |
|   20/1000 |     17s |        -33.43122 |  |   0.814714 |   -36.49410 |
|   21/1000 |     17s |        -33.70968 |  |   0.830859 |   -37.48219 |
|   22/1000 |     17s |        -34.03723 |  |   0.846500 |   -38.14538 |
|   23/1000 |     17s |        -34.47925 |  |   0.860379 |   -38.73205 |
|   24/1000 |     17s |        -34.64524 |  |   0.861696 |   -39.10253 |
|   25/1000 |     17s |        -27.33276 |  |   0.868996 |   -38.26844 |
|   26/1000 |     17s |        -35.17373 |  |   0.876139 |   -39.45554 |
|   27/1000 |     17s |        -35.33338 |  |   0.876094 |   -39.45715 |
|   28/1000 |     17s |        -35.67663 |  |   0.875361 |   -39.43970 |
|   29/1000 |     17s |        -35.70297 |  |   0.878965 |   -39.10811 |
