Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  4
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  200
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      8s |         53.65427 |  |   0.434947 |    -6.94981 |
|    2/1000 |      8s |         -9.59814 |  |   0.586234 |   -15.83422 |
|    3/1000 |      8s |        -15.26392 |  |   0.640550 |   -16.62607 |
|    4/1000 |      8s |        -18.15765 |  |   0.664365 |   -22.88821 |
|    5/1000 |      8s |        -20.20220 |  |   0.690113 |   -17.85427 |
|    6/1000 |      8s |        -22.10041 |  |   0.717457 |   -26.28726 |
|    7/1000 |      8s |        -23.32471 |  |   0.732884 |   -27.55527 |
|    8/1000 |      8s |        -24.44936 |  |   0.748466 |   -27.41262 |
|    9/1000 |      8s |        -25.24337 |  |   0.742729 |   -27.46143 |
|   10/1000 |      8s |        -26.03056 |  |   0.754125 |   -30.35903 |
|   11/1000 |      8s |        -26.63291 |  |   0.766290 |   -29.92554 |
|   12/1000 |      8s |        -26.89217 |  |   0.760252 |   -27.21885 |
|   13/1000 |      8s |        -27.70828 |  |   0.768341 |   -32.03732 |
|   14/1000 |      8s |        -28.12933 |  |   0.768691 |   -30.13401 |
|   15/1000 |      8s |        -28.62819 |  |   0.772216 |   -31.80184 |
|   16/1000 |      8s |        -28.85542 |  |   0.772483 |   -30.74364 |
