Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      6s |       9999.00000 |  |   0.032577 |    37.30370 |
|    2/1000 |      6s |         24.80245 |  |   0.061675 |    15.63209 |
|    3/1000 |      6s |          8.49102 |  |   0.211298 |     3.54591 |
|    4/1000 |      6s |         -0.33535 |  |   0.419856 |    -6.20159 |
|    5/1000 |      6s |         -6.64339 |  |   0.550531 |    -9.40824 |
|    6/1000 |      6s |        -10.18911 |  |   0.612392 |   -15.78357 |
|    7/1000 |      6s |        -12.33090 |  |   0.637427 |   -17.41928 |
|    8/1000 |      6s |        -15.30300 |  |   0.668882 |   -16.58562 |
|    9/1000 |      6s |        -16.48602 |  |   0.687244 |   -19.93277 |
|   10/1000 |      6s |        -17.77461 |  |   0.694611 |   -19.90448 |
|   11/1000 |      6s |        -18.84393 |  |   0.705276 |   -21.97434 |
|   12/1000 |      6s |        -19.95810 |  |   0.724611 |   -24.33019 |
|   13/1000 |      6s |        -21.20578 |  |   0.728774 |   -23.55183 |
|   14/1000 |      6s |        -22.19383 |  |   0.733704 |   -22.85303 |
|   15/1000 |      6s |        -21.14775 |  |   0.732005 |   -23.50749 |
|   16/1000 |      6s |        -23.65848 |  |   0.747003 |   -22.03310 |
|   17/1000 |      6s |        -23.99459 |  |   0.763904 |   -27.48721 |
|   18/1000 |      6s |        -24.92448 |  |   0.770461 |   -26.89840 |
|   19/1000 |      6s |        -24.76445 |  |   0.770456 |   -27.86064 |
|   20/1000 |      6s |        -25.66044 |  |   0.772214 |   -28.22816 |
|   21/1000 |      6s |        -26.33322 |  |   0.785531 |   -29.11337 |
|   22/1000 |      6s |        -26.76891 |  |   0.763082 |   -24.34793 |
|   23/1000 |      6s |        -26.85394 |  |   0.797743 |   -31.21269 |
|   24/1000 |      6s |        -26.07111 |  |   0.796706 |   -28.99554 |
|   25/1000 |      6s |        -27.80947 |  |   0.797618 |   -30.58445 |
|   26/1000 |      6s |        -28.11195 |  |   0.806859 |   -30.93953 |
|   27/1000 |      6s |        -28.39847 |  |   0.808939 |   -32.61665 |
|   28/1000 |      6s |        -28.91583 |  |   0.809500 |   -31.28150 |
|   29/1000 |      6s |        -28.77040 |  |   0.811060 |   -30.24179 |
|   30/1000 |      6s |        -29.65598 |  |   0.799333 |   -28.65551 |
|   31/1000 |      6s |        -29.60681 |  |   0.821031 |   -33.23785 |
|   32/1000 |      6s |        -29.80867 |  |   0.824395 |   -33.68625 |
