Selected mat file:
otherR/R_12.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      8s |       9999.00000 |  |   0.035838 |    20.69489 |
|    2/1000 |      8s |         12.82828 |  |   0.224519 |     0.94727 |
|    3/1000 |      8s |         -0.79737 |  |   0.456521 |    -7.25722 |
|    4/1000 |      8s |         -7.11245 |  |   0.542522 |    -4.14115 |
|    5/1000 |      8s |        -11.40942 |  |   0.603465 |   -14.23313 |
|    6/1000 |      8s |        -13.52716 |  |   0.634308 |   -17.16445 |
|    7/1000 |      8s |        -15.29009 |  |   0.645019 |   -18.54718 |
|    8/1000 |      8s |        -16.72824 |  |   0.657251 |   -17.51306 |
|    9/1000 |      8s |        -17.09341 |  |   0.613375 |   -12.61723 |
|   10/1000 |      8s |        -18.72664 |  |   0.685785 |   -22.88789 |
|   11/1000 |      8s |        -16.36977 |  |   0.684371 |   -23.02644 |
|   12/1000 |      8s |        -20.82248 |  |   0.698864 |   -23.18780 |
|   13/1000 |      9s |        -21.60995 |  |   0.704776 |   -24.85509 |
